City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
509,huilong,31.8111,121.655,4.4,69,48,7.24,CN,1675266345
510,luwuk,-0.9516,122.7875,25.12,89,100,1.96,ID,1675266345
511,mongo,12.1844,18.693,35.33,9,42,4.81,TD,1675266346
512,tautira,-17.7333,-149.15,27.26,75,17,8.93,PF,1675266346
513,mamallapuram,12.6264,80.1722,28.03,80,100,7.82,IN,1675266347
514,qui nhon,13.7667,109.2333,22.63,88,99,2.77,VN,1675266347
515,walvis bay,-22.9575,14.5053,23.53,56,0,6.17,NA,1675266347
516,zhuanghe,39.7008,122.9911,-4.82,32,2,3.77,CN,1675266348
517,mbanza-ngungu,-5.25,14.8667,26.75,73,20,2.15,CD,1675266349
518,orissaare,58.5592,23.0826,1.12,94,100,0.99,EE,1675266349
519,vazante,-17.9869,-46.9078,27.98,59,52,2.92,BR,1675266184
520,rehoboth,-23.3167,17.0833,32.21,11,100,3.0,NA,1675266350
521,barra patuca,15.8,-84.2833,27.04,67,52,6.4,HN,1675266350
522,inirida,3.8653,-67.9239,32.54,38,77,1.81,CO,1675266351
523,mayumba,-3.432,10.6554,28.04,76,58,4.44,GA,1675266351
524,nuuk,64.1835,-51.7216,-10.66,73,40,1.54,GL,1675266352
525,mossendjo,-2.9506,12.7261,25.75,83,91,1.25,CG,1675266353
526,yerofey pavlovich,53.9667,121.9667,-28.96,94,14,1.77,RU,1675266353
527,ulladulla,-35.35,150.4667,18.57,88,95,1.53,AU,1675266353
528,homer,59.6425,-151.5483,1.0,88,100,2.68,US,1675266181
529,port-gentil,-0.7193,8.7815,29.98,74,20,7.2,GA,1675266354
530,keti bandar,24.1447,67.4497,21.23,41,0,0.79,PK,1675266355
531,bakchar,57.0186,82.0711,-20.67,100,50,1.6,RU,1675266355
532,intipuca,13.1969,-88.0544,29.87,41,26,2.99,SV,1675266356
533,southbridge,42.0751,-72.0334,-2.2,49,19,4.02,US,1675266357
534,alyangula,-13.8483,136.4192,28.45,82,99,6.35,AU,1675266357
535,tirumullaivasal,11.2333,79.8333,25.5,82,100,8.37,IN,1675266358
536,kailua,21.4022,-157.7394,20.99,92,0,2.46,US,1675266358
537,karratha,-20.7377,116.8463,30.28,64,68,5.84,AU,1675266359
538,odweyne,9.4092,45.064,23.61,32,1,3.03,SO,1675266359
539,maceio,-9.6658,-35.7353,24.69,94,75,3.09,BR,1675265950
540,nantucket,41.2835,-70.0995,-0.48,87,100,6.17,US,1675266360
541,gebre guracha,9.8,38.4,18.52,17,54,1.99,ET,1675266361
542,zhuhai,22.2769,113.5678,21.03,88,0,0.51,CN,1675266361
543,camocim,-2.9022,-40.8411,29.05,70,73,5.85,BR,1675266362
544,rawson,-43.3002,-65.1023,24.25,41,3,9.03,AR,1675266362
545,kruisfontein,-34.0033,24.7314,26.6,77,11,9.48,ZA,1675266362
546,tokur,53.1333,132.9,-35.84,100,94,0.91,RU,1675266363
547,darnah,32.767,22.6367,12.24,57,11,6.03,LY,1675266363
548,plettenberg bay,-34.0527,23.3716,21.86,72,41,4.5,ZA,1675266364
549,mingyue,43.1069,128.9217,-13.61,87,58,4.22,CN,1675266364
550,taltal,-25.4,-70.4833,22.97,71,69,3.45,CL,1675266365
551,bayangol,50.6977,103.4656,-25.29,98,18,1.64,RU,1675266365
552,perth,-31.9333,115.8333,23.7,45,0,6.69,AU,1675266205
553,burns lake,54.2331,-125.7533,-6.32,98,100,0.67,CA,1675266366
554,mahajanga,-15.7167,46.3167,29.01,84,40,3.09,MG,1675266366
555,sulangan,11.1373,123.7228,26.65,85,29,5.68,PH,1675266367
556,zheleznodorozhnyy,55.7503,38.0042,0.24,96,100,3.44,RU,1675266368
557,sterling,39.0062,-77.4286,1.92,60,75,6.26,US,1675266368
558,calabozo,8.9242,-67.4293,32.5,28,0,3.35,VE,1675266369
559,sechura,-5.5569,-80.8222,28.04,55,54,1.02,PE,1675266369
560,sretensk,52.2453,117.7093,-31.59,100,39,0.67,RU,1675266370
561,mukhen,48.1,136.1,-18.98,94,99,3.48,RU,1675266371
